valid,count,tpm,num_of_reads
1.0,3,0.0,0.0
9.34841615613,1,1.180968,46.855146
12.41908289,2,0.91208,40.780781
21.0225009538,1,2.705958,72.364073
617.25,3,20.638372,2032.0
807.185,4,13.886148,1998.0
77.61,1,14.940537,184.0
113.376761852,2,3.581666,267.681402
60.6967384089,7,4.643081,201.26395
209.316418399,6,53.189926,680.984898
200.085,11,5.380345,746.0
299.902102948,6,26.012769,3564.480253
11.9311435329,2,15.124547,173.488438
8.03280836225,1,3.340497,41.031309
2.145,3,0.036441,4.0
36.395426629,2,1.160601,54.268514
233.823023488,3,45.131283,740.587197
9.06351991019,5,4.846424,18.900025
186.928456602,1,27.173515,637.512777
-6.04417971757,1,0.121964,19.007168
25.4891797176,1,0.311513,53.992832
12.825,1,0.870458,31.0
1.0,10,0.0,0.0
195.963825364,2,62.014285,1019.645889
1080.39893774,5,144.036761,6660.12504
171.467208525,10,60.653799,1080.052986
234.54322772,5,19.029813,1608.348999
191.258647764,2,48.705194,1183.812133
6.82,8,2.768894,35.0
134.744492905,4,19.876917,544.476052
15.3180190732,4,1.064338,40.948199
174.347488022,4,23.985579,492.575749
37.21,1,3.792902,123.0
4.95,3,0.037791,3.0
1179.54626885,1,123.680483,3838.02044
976.960747357,1,101.418121,2666.036272
127.522983792,2,19.457377,790.943289
11.275,2,4.75953,88.0
-0.07,3,0.020724,2.0
355.545460769,2,69.0226,1473.541853
117.324247133,2,19.786296,462.91672
28.515,3,7.230044,78.0
88.0507375128,3,5.973661,188.478838
3.53926248722,8,0.047382,1.521162
16.4997842327,5,0.945576,23.56664
433.653301815,8,14.812155,1227.818303
66.226620171,3,4.588118,242.415093
90.8499523323,4,27.25562,449.911275
576.29,2,43.177788,1302.0
82.215,4,2.472067,343.0
138.61,2,13.897532,1208.0
33.7267808598,2,0.153617,25.24789
18.401081819,1,1.482038,53.310201
279.523918181,3,28.147645,849.689799
434.83,1,65.958434,1496.0
10.151173865,2,0.420771,36.0
24.7420857006,2,1.271374,120.301327
7.66291429939,1,0.289285,62.698673
1.0,1,0.0,0.0
274.67,1,32.703381,780.0
911.015,5,24.295856,2085.0
427.565,6,20.914411,1209.0
96.8310875546,4,5.141563,265.976123
51.3671814062,2,2.924766,154.721258
-7.73326896088,1,0.173612,9.302619
210.065,1,12.816044,628.0
185.228856335,2,4.85604,725.533229
246.270286942,4,11.471847,775.729809
-126.944143277,3,7.229345,377.736962
-0.0131307351503,3,0.39929,31.89155
440.335213019,4,26.54386,4384.200189
428.059786981,5,7.039093,1195.799811
2.75117477307,3,1.082432,25.043018
457.506793688,8,10.976155,2405.683918
45.4120378488,7,3.468853,245.273063
365.42111003,6,45.347014,2126.27385
85.4023141453,3,47.303606,2055.084155
44.826601591,2,2.176718,108.641995
1702.96,6,326.42889,12145.0
-0.125,2,0.080985,1.0
234.275489015,4,13.250366,1643.01742
1.96951098483,3,1.007176,171.98258
5.54087134497,1,0.908699,28.198505
13.1005558897,1,4.149632,40.722452
54.8635727653,2,21.288958,296.079043
2.0,6,0.0,0.0
18.3442755025,5,2.566423,177.461843
52.1657244975,4,10.874708,450.538157
2.66764069804,4,1.082157,117.798805
91.9574172667,3,9.988206,863.325521
10.6789159431,3,2.940592,309.875673
128.347967448,1,16.015041,494.892972
-7.71043293706,2,24.013334,620.333916
5.17257978988,1,0.162507,16.0
0.884491692928,1,0.002221,0.133802
425.608212092,2,15.314126,3241.999969
141.840225789,3,0.942068,137.355036
-10.1594530707,3,2.257956,362.303741
-0.330410826951,3,0.089692,1.29986
1.17058732545,1,0.048312,5.70014
18.005,2,4.341542,113.0
-3.0460083579,5,3.427713,127.864455
15.556286134,1,11.829907,194.124268
7.6297222239,1,3.031497,52.011276
1.835,1,2.32746,27.0
162.25,6,30.235233,1625.0
203.189790426,6,1.290012,190.223547
141.407884998,1,5.639343,887.277396
471.955,3,96.476681,1138.0
8.20376871016,5,1.724512,97.335367
77.516388206,3,18.000123,925.308098
30.2465622839,5,8.436785,258.244206
194.948437716,10,11.758456,1254.755794
130.520673098,5,6.432125,427.0
1.025,4,0.120896,9.0
-10.5039962357,4,0.018214,1.841246
42.3381544877,1,1.425735,149.778782
15.2568316836,1,0.780003,86.377706
45.49,7,5.274882,380.0
122.99,5,8.966856,1067.0
1056.91,3,57.48684,5561.0
154.856705347,1,21.130531,323.399206
41.9116645506,1,24.020578,238.848195
52.5966301019,1,60.71018,597.752599
443.42,1,50.51433,1950.0
354.355,3,10.956254,1533.0
251.016945593,1,29.307046,1010.393608
-1.83325563923,3,25.40902,595.290638
25.7063100465,2,3.796275,173.315754
1.0,3,0.0,0.0
192.36,4,22.315172,670.0
15.9999999961,2,0.0,0.0
22.4108579036,3,4.551685,111.223335
20.2875848005,1,1.387787,204.776665
0.191483659558,3,0.121494,2.877972
303.21,2,23.338579,1337.0
446.928605558,1,17.094405,1417.0
193.90211726,2,4.715839,602.989435
49.9228827401,4,10.297182,179.010565
